time,values
0.002,0.0935
0.004,0.0329
0.006,0.103
0.008,0.13
0.01,0.0516
0.012,0.0473
0.014,0.0418
0.016,0.0425
0.018,0.0712
0.02,0.0543
0.022,0.108
0.024,0.037
0.026,0.0684
0.028,0.132
0.03,0.0839
0.032,0.121
0.034,0.0846
0.036,0.0778
0.038,0.109
0.04,0.0612
0.042,0.084
0.044,0.0592
0.046,0.103
0.048,0.0531
0.05,0.0479
0.052,0.0759
0.054,0.0653
0.056,0.0782
0.058,0.146
0.06,0.0769
0.062,0.114
0.064,0.0368
0.066,0.121
0.068,0.0555
0.07,0.0224
0.072,0.109
0.074,0.0714
0.076,0.0481
0.078,0.122
0.08,0.0276
0.082,0.118
0.084,0.039
0.086,0.0472
0.088,0.0396
0.09,0.0451
0.092,0.0989
0.094,0.0962
0.096,0.0753
0.098,0.054
0.1,0.102
0.102,0.0239
0.104,0.0457
0.106,0.084
0.108,0.0591
0.11,0.0383
0.112,0.104
0.114,0.0475
0.116,0.0413
0.118,0.079
0.12,0.104
0.122,0.0823
0.124,0.122
0.126,0.0949
0.128,0.053
0.13,0.0714
0.132,0.0677
0.134,0.107
0.136,0.0478
0.138,0.125
0.14,0.0568
0.142,0.083
0.144,0.098
0.146,0.0906
0.148,0.0758
0.15,0.0809
0.152,0.0617
0.154,0.0429
0.156,0.0782
0.158,0.0689
0.16,0.122
0.162,0.0717
0.164,0.11
0.166,0.0936
0.168,0.0412
0.17,0.0622
0.172,0.0946
0.174,0.0484
0.176,0.0584
0.178,0.0566
0.18,0.101
0.182,0.0602
0.184,0.11
0.186,0.0945
0.188,0.0687
0.19,0.0548
0.192,0.0579
0.194,0.0273
0.196,0.13
0.198,0.0374
0.2,0.0976
0.202,0.0505
0.204,0.106
0.206,0.0839
0.208,0.0899
0.21,0.0617
0.212,0.00819
0.214,0.0515
0.216,0.109
0.218,0.051
0.22,0.114
0.222,0.103
0.224,0.0957
0.226,0.0311
0.228,0.0715
0.23,0.101
0.232,0.0897
0.234,0.0733
0.236,0.0672
0.238,0.0907
0.24,0.0388
0.242,0.118
0.244,0.112
0.246,0.0427
0.248,0.0947
0.25,0.0415
0.252,0.074
0.254,0.0785
0.256,0.0944
0.258,0.0363
0.26,0.041
0.262,0.112
0.264,0.12
0.266,0.0979
0.268,0.0453
0.27,0.0183
0.272,0.103
0.274,0.136
0.276,0.0756
0.278,0.0798
0.28,0.0569
0.282,0.0806
0.284,0.0833
0.286,0.111
0.288,0.123
0.29,0.0535
0.292,0.0937
0.294,-0.0782
0.296,0.0927
0.298,0.845
0.3,1.07
0.302,-0.555
0.304,-0.387
0.306,-0.184
0.308,-0.24
0.31,0.00292
0.312,0.88
0.314,0.498
0.316,-0.442
0.318,-0.325
0.32,1.07
0.322,0.256
0.324,-0.826
0.326,0.619
0.328,-0.593
0.33,1.08
0.332,0.746
0.334,-0.6
0.336,0.0879
0.338,-0.0908
0.34,-0.154
0.342,0.207
0.344,-0.0381
0.346,0.259
0.348,-0.145
0.35,-0.83
0.352,0.985
0.354,-0.105
0.356,0.94
0.358,-0.367
0.36,-0.881
0.362,-0.683
0.364,0.124
0.366,1.07
0.368,-0.289
0.37,-0.646
0.372,-0.717
0.374,-0.168
0.376,0.291
0.378,-0.306
0.38,-0.666
0.382,-0.815
0.384,-0.55
0.386,-0.643
0.388,0.964
0.39,0.286
0.392,0.448
0.394,-0.345
0.396,0.742
0.398,0.0907
0.4,-0.218
0.402,0.274
0.404,0.505
0.406,0.385
0.408,-0.713
0.41,0.978
0.412,0.627
0.414,-0.499
0.416,-0.00203
0.418,0.985
0.42,0.672
0.422,0.481
0.424,-0.495
0.426,0.448
0.428,1.04
0.43,0.583
0.432,-0.442
0.434,0.963
0.436,0.516
0.438,0.233
0.44,-0.214
0.442,-0.103
0.444,0.679
0.446,0.448
0.448,-0.76
0.45,0.524
0.452,0.667
0.454,-1.05
0.456,0.107
0.458,-0.0465
0.46,0.317
0.462,0.192
0.464,0.202
0.466,-0.475
0.468,-0.695
0.47,-0.0352
0.472,-0.789
0.474,0.74
0.476,0.295
0.478,0.513
0.48,-0.07
0.482,1.22
0.484,-0.759
0.486,-0.899
0.488,0.753
0.49,0.358
0.492,-0.385
0.494,1.08
0.496,-0.171
0.498,0.339
0.5,0.383
0.502,0.565
0.504,-0.864
0.506,0.221
0.508,-0.0936
0.51,0.42
0.512,0.208
0.514,-0.672
0.516,-0.63
0.518,0.421
0.52,0.727
0.522,0.919
0.524,-0.712
0.526,0.493
0.528,-0.693
0.53,-0.514
0.532,0.956
0.534,-0.457
0.536,-0.802
0.538,-0.583
0.54,0.222
0.542,0.194
0.544,0.522
0.546,0.0784
0.548,0.0358
0.55,0.861
0.552,0.819
0.554,0.722
0.556,-0.0668
0.558,-0.918
0.56,-0.466
0.562,0.882
0.564,-0.182
0.566,0.836
0.568,0.831
0.57,-0.305
0.572,-0.293
0.574,-0.554
0.576,0.147
0.578,0.807
0.58,0.498
0.582,-0.634
0.584,0.0108
0.586,-0.215
0.588,0.566
0.59,0.83
0.592,0.884
0.594,-0.61
0.596,-0.639
0.598,-0.168
0.6,-0.551
0.602,-0.362
0.604,-0.0795
0.606,0.55
